Vix level,SPY,SH
0,100%,0%
1,100%,0%
2,99%,1%
3,98%,2%
4,97%,3%
5,96%,4%
6,95%,5%
7,94%,6%
8,93%,7%
9,92%,8%
10,91%,9%
11,90%,10%
12,89%,11%
13,88%,12%
14,87%,13%
15,86%,14%
16,85%,15%
17,84%,16%
18,83%,17%
19,82%,18%
20,81%,19%
21,80%,20%
22,79%,21%
23,78%,22%
24,77%,23%
25,76%,24%
26,75%,25%
27,74%,26%
28,73%,27%
29,72%,28%
30,71%,29%
31,70%,30%
32,69%,31%
33,68%,32%
34,67%,33%
35,66%,34%
36,65%,35%
37,64%,36%
38,63%,37%
39,62%,38%
40,61%,39%
41,60%,40%
42,59%,41%
43,58%,42%
44,57%,43%
45,56%,44%
46,55%,45%
47,54%,46%
48,53%,47%
49,52%,48%
50,51%,49%
51,50%,50%
52,49%,51%
53,48%,52%
54,47%,53%
55,46%,54%
56,45%,55%
57,44%,56%
58,43%,57%
59,42%,58%
60,41%,59%
61,40%,60%
62,39%,61%
63,38%,62%
64,37%,63%
65,36%,64%
66,35%,65%
67,34%,66%
68,33%,67%
69,32%,68%
70,31%,69%
71,30%,70%
72,29%,71%
73,28%,72%
74,27%,73%
75,26%,74%
76,25%,75%
77,24%,76%
78,23%,77%
79,22%,78%
80,21%,79%
81,20%,80%
82,19%,81%
83,18%,82%
84,17%,83%
85,16%,84%
86,15%,85%
87,14%,86%
88,13%,87%
89,12%,88%
90,11%,89%
91,10%,90%
92,9%,91%
93,8%,92%
94,7%,93%
95,6%,94%
96,5%,95%
97,4%,96%
98,3%,97%
99,2%,98%
100,1%,99%
101+,0%,100%
