Vix level,SPY,SH
0,100%,0%
1,100%,0%
2,100%,0%
3,100%,0%
4,100%,0%
5,100%,0%
6,96.67%,3.33%
7,93.33%,6.67%
8,90.00%,10.00%
9,86.67%,13.33%
10,83.33%,16.67%
11,80.00%,20.00%
12,76.67%,23.33%
13,73.33%,26.67%
14,70.00%,30.00%
15,66.67%,33.33%
16,63.33%,36.67%
17,60.00%,40.00%
18,56.67%,43.33%
19,53.33%,46.67%
20,50.00%,50.00%
21,46.67%,53.33%
22,43.33%,56.67%
23,40.00%,60.00%
24,36.67%,63.33%
25,33.33%,66.67%
26,30.00%,70.00%
27,26.67%,73.33%
28,23.33%,76.67%
29,20.00%,80.00%
30,16.67%,83.33%
31,13.33%,86.67%
32,10.00%,90.00%
33,6.67%,93.33%
34,3.33%,96.67%
35,0.00%,100.00%
36+,0%,100%
